31-03-2026 19:32:32 | DELETE | cafeteria-api/produtos/32
31-03-2026 19:32:32 | DELETE | cafeteria-api/produtos/32
31-03-2026 19:32:33 | GET | cafeteria-api/produtos
31-03-2026 19:32:33 | GET | cafeteria-api/produtos
31-03-2026 19:32:33 | GET | cafeteria-api/produtos
31-03-2026 19:32:35 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:33:35 | GET | cafeteria-api/categorias
31-03-2026 19:34:00 | POST | cafeteria-api/categorias
31-03-2026 19:34:12 | DELETE | cafeteria-api/categorias/13
31-03-2026 19:34:42 | GET | cafeteria-api/produtos
31-03-2026 19:34:57 | POST | cafeteria-api/produtos
31-03-2026 19:35:01 | POST | cafeteria-api/produtos
31-03-2026 19:35:01 | GET | cafeteria-api/produtos
31-03-2026 19:35:05 | OPTIONS | cafeteria-api/produtos/33
31-03-2026 19:35:05 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:05 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:06 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:06 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:06 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:06 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:06 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:07 | DELETE | cafeteria-api/produtos/33
31-03-2026 19:35:11 | GET | cafeteria-api/produtos
31-03-2026 19:36:14 | POST | cafeteria-api/produtos
31-03-2026 19:36:15 | GET | cafeteria-api/produtos
31-03-2026 19:36:19 | GET | cafeteria-api/produtos
31-03-2026 19:36:19 | GET | cafeteria-api/produtos
31-03-2026 19:36:19 | GET | cafeteria-api/produtos
31-03-2026 19:36:24 | POST | cafeteria-api/produtos
31-03-2026 19:36:24 | GET | cafeteria-api/produtos
31-03-2026 19:37:09 | GET | cafeteria-api/produtos
31-03-2026 19:37:10 | GET | cafeteria-api/produtos
31-03-2026 19:37:11 | GET | cafeteria-api/produtos
31-03-2026 19:37:11 | GET | cafeteria-api/produtos
31-03-2026 19:37:13 | GET | cafeteria-api/produtos
31-03-2026 19:37:13 | GET | cafeteria-api/produtos
31-03-2026 19:37:16 | GET | cafeteria-api/produtos
31-03-2026 19:37:17 | GET | cafeteria-api/produtos
31-03-2026 19:37:26 | GET | cafeteria-api/produtos
31-03-2026 19:37:26 | GET | cafeteria-api/produtos
31-03-2026 19:39:36 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 19:39:36 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:39:36 | GET | cafeteria-api/produtos
31-03-2026 19:39:55 | POST | cafeteria-api/produtos
31-03-2026 19:39:55 | GET | cafeteria-api/produtos
31-03-2026 19:40:42 | OPTIONS | cafeteria-api/produtos/35
31-03-2026 19:40:42 | DELETE | cafeteria-api/produtos/35
31-03-2026 19:40:42 | GET | cafeteria-api/produtos
31-03-2026 19:41:15 | GET | cafeteria-api/produtos
31-03-2026 19:41:15 | GET | cafeteria-api/produtos
31-03-2026 19:41:17 | GET | cafeteria-api/produtos
31-03-2026 19:41:17 | GET | cafeteria-api/produtos
31-03-2026 19:41:19 | GET | cafeteria-api/produtos
31-03-2026 19:41:19 | GET | cafeteria-api/produtos
31-03-2026 19:44:08 | POST | cafeteria-api/produtos
31-03-2026 19:44:08 | GET | cafeteria-api/produtos
31-03-2026 19:44:15 | OPTIONS | cafeteria-api/produtos/36
31-03-2026 19:44:15 | DELETE | cafeteria-api/produtos/36
31-03-2026 19:44:16 | GET | cafeteria-api/produtos
31-03-2026 19:47:18 | GET | cafeteria-api/produtos
31-03-2026 19:47:18 | GET | cafeteria-api/produtos
31-03-2026 19:47:29 | GET | cafeteria-api/produtos
31-03-2026 19:47:29 | GET | cafeteria-api/produtos
31-03-2026 19:47:33 | GET | cafeteria-api/produtos
31-03-2026 19:47:33 | GET | cafeteria-api/produtos
31-03-2026 19:47:42 | GET | cafeteria-api/produtos
31-03-2026 19:47:42 | GET | cafeteria-api/produtos
31-03-2026 19:47:43 | GET | cafeteria-api/produtos
31-03-2026 19:47:43 | GET | cafeteria-api/produtos
31-03-2026 19:47:44 | GET | cafeteria-api/produtos
31-03-2026 19:47:44 | GET | cafeteria-api/produtos
31-03-2026 19:47:51 | POST | cafeteria-api/produtos
31-03-2026 19:47:51 | GET | cafeteria-api/produtos
31-03-2026 19:47:59 | POST | cafeteria-api/produtos
31-03-2026 19:47:59 | GET | cafeteria-api/produtos
31-03-2026 19:48:01 | OPTIONS | cafeteria-api/produtos/38
31-03-2026 19:48:01 | DELETE | cafeteria-api/produtos/38
31-03-2026 19:48:01 | GET | cafeteria-api/produtos
31-03-2026 19:48:01 | OPTIONS | cafeteria-api/produtos/37
